platform,concurrency,runs,qps_mean,qps_stdev,p50_ms_mean,p50_ms_stdev,p95_ms_mean,p95_ms_stdev,total_errors
CognoDB,1,3,2.776161147114965,0.6304232003257777,365.745514,135.45259695032644,540.8052367833333,126.7750738527355,0
CognoDB,10,3,28.681044855712116,6.860207851779609,310.69343050000003,42.91564348431324,513.8062473,179.0556653444175,0
CognoDB,40,3,114.3942990961581,25.607158217460807,350.322257,116.46897315957702,526.3985675166666,144.97287402346709,0
Neo4j AuraDB,1,3,12.204915966609303,0.5568882197650028,79.61622233333334,4.232150303236564,90.4137282,4.385309257526571,0
Neo4j AuraDB,10,3,116.159291245415,12.942348160705562,78.859569,1.4604021069048063,93.33709183333332,5.278055334887752,0
Neo4j AuraDB,40,3,358.7586265791772,181.8128555237017,83.03745133333334,3.5850442975094903,606.5727525666643,885.5745623733623,0
FalkorDB,1,3,3.151973975459334,0.5392334322167319,286.326882,35.566317374459494,534.0029997833334,138.26011404287533,0
FalkorDB,10,3,30.721805530296542,7.682329217172776,289.09299316666664,32.72380341526185,498.8708784666666,201.33925070311724,0
FalkorDB,40,3,133.49629639465488,36.787781810508804,280.99184,51.17734439740669,392.5580103166667,195.86245688495924,0
Memgraph,1,3,2.9601588320838457,0.6227358117299179,298.0109443333333,47.73004371176421,518.0347874666667,106.00967153786203,0
Memgraph,10,3,31.447641549261466,6.714116666467044,281.73777766666666,26.528412134987107,502.70040616666665,193.8494249092115,0
Memgraph,40,3,121.56885299509267,24.361580212688942,294.0580973333333,26.091714505443004,508.1461854666666,189.9954725649138,0
ArangoDB,1,3,2.516550224552031,0.6015750130435515,394.4721803333333,133.616991201334,553.2500518666667,119.77883400561281,0
ArangoDB,10,3,25.8499699424894,6.831699317174309,395.3884581666667,173.2367963145691,520.8257096666666,147.3793454370573,0
ArangoDB,40,3,99.25085061063466,20.756910739257364,334.6140276666667,66.2320294708762,484.7590654333333,157.58091903747737,0
