platform,runs,nodes_per_second_mean,nodes_per_second_stdev,relationships_per_second_mean,relationships_per_second_stdev,relationship_load_seconds_mean,relationship_load_seconds_stdev,end_to_end_seconds_mean,end_to_end_seconds_stdev
CognoDB,3,1116.6861038245456,89.50172724698788,2150.1972139571412,340.2589778579954,47.33098877772378,7.833428747767892,55.40423388895579,8.551333883766407
Neo4j AuraDB,3,3129.383225869106,441.59843373979317,5007.477920527581,140.66916493887507,19.980581625287112,0.5579821472045513,26.180673041768994,1.192543835176285
FalkorDB,3,1145.552153194024,298.03676373077315,2489.7775008808944,134.06933803588504,40.240225680405274,2.117344830951824,45.24400443063738,2.7200720181586786
Memgraph,3,1332.079804890946,231.081682768491,2336.9187415924034,360.119019065888,43.544227416316666,7.331055876027293,48.751699110958725,8.359129163950339
ArangoDB,3,875.9752561813384,93.30270261054002,1820.8531765233913,550.0937361355209,58.83868670836091,19.688928319248948,80.56650204164907,21.526745979573413
