platform,runs,p50_ms_mean,p50_ms_stdev,p95_ms_mean,p95_ms_stdev
CognoDB,3,404.8029651666667,181.33084811368687,570.0957332166665,77.64819117918329
Neo4j AuraDB,3,77.09162483333334,2.3261865620298083,88.53610011666666,3.467609256966312
FalkorDB,3,278.8433265,25.922209981874364,538.4775155,97.44790285051168
Memgraph,3,280.1874583333333,28.647338109059515,588.20915475,42.56314129812432
ArangoDB,3,404.2633261666667,181.56953712059166,502.1053422666666,126.33773962364027
