platform,workload,runs,p50_ms_mean,p50_ms_stdev,p95_ms_mean,p95_ms_stdev,p99_ms_mean,p99_ms_stdev
CognoDB,point_lookup,3,296.806965,18.28983648985003,597.7207716833333,44.02632872710995,631.0409865766667,27.147990273612464
CognoDB,indexed_lookup,3,340.873146,87.48466312644004,604.9313388833333,17.146863086152187,650.1985892366667,15.995091364718398
CognoDB,traversal_1hop,3,321.03758316666665,21.10974688181978,613.8391509166668,1.1487982252604434,633.03478898,15.780069027552534
CognoDB,traversal_2hop,3,570.211625,42.21444833437864,1031.7401852166668,119.62388499486923,1267.9025595833334,44.5129062434528
CognoDB,traversal_3hop,3,328.6963816666667,37.18823628922458,817.6050197666664,61.802936175672514,3529.6442631533387,288.3572125680023
CognoDB,aggregation_rating_counts,3,536.4784928333333,32.61280144542384,729.6659051666664,92.46363917416204,861.3734695633334,103.85775002894452
Neo4j AuraDB,point_lookup,3,78.71897933333334,3.1487702925992545,91.79683056666667,5.994334820594195,125.71681868666673,25.072059078523647
Neo4j AuraDB,indexed_lookup,3,80.24820150000001,4.57922453609831,92.35037591666666,8.302788042531366,101.90895490333335,15.835883345672023
Neo4j AuraDB,traversal_1hop,3,79.42396533333333,2.8461057075831495,94.65436553333333,3.80225263283369,251.60931202666703,130.45286332065322
Neo4j AuraDB,traversal_2hop,3,86.72040983333333,1.9516924535420672,99.87442879999999,1.7700323287075268,132.97720324333335,38.365787060640706
Neo4j AuraDB,traversal_3hop,3,81.39428466666666,2.959994747804892,94.72528888333333,5.927533166399953,115.12715182666669,23.660335550342896
Neo4j AuraDB,aggregation_rating_counts,3,104.332854,1.5481772350605545,119.85489688333332,0.5255600538865356,220.03671208333358,158.26380759303026
FalkorDB,point_lookup,3,262.4341181666667,3.9726322809606187,478.93406618333324,111.33004252891655,542.9896420833334,72.50909541393162
FalkorDB,indexed_lookup,3,290.673,29.031244136829926,469.36337546666664,126.35034311838425,548.5821128966667,105.93184287032497
FalkorDB,traversal_1hop,3,292.4638818333333,44.64844071944887,490.9783611333333,117.21681945595928,588.0254367233334,69.30472963315033
FalkorDB,traversal_2hop,3,324.65053466666666,43.42298506635605,515.0780627166666,104.46972559765999,611.1110312366667,88.48587168764327
FalkorDB,traversal_3hop,3,333.42116,69.91364637509349,560.0577217333333,95.07303026801966,603.72006732,95.2657097144069
FalkorDB,aggregation_rating_counts,3,312.6065693333333,6.625683299404804,515.6830588333335,165.0241356098054,570.0543602766667,99.74449823564315
Memgraph,point_lookup,3,387.42684033333336,179.0394288107375,476.90314464999994,120.24833866059588,557.9950249100001,56.8130228367503
Memgraph,indexed_lookup,3,383.03506916666663,199.55387951262233,477.25570418333336,129.12750086513432,569.8136134700001,75.51210208183753
Memgraph,traversal_1hop,3,293.72183383333333,29.81876173126045,545.4189418833333,120.38968077444358,570.8358065133334,112.58553420178573
Memgraph,traversal_2hop,3,294.724979,14.735160994664783,549.6497791666667,112.3653879012416,597.5165416733333,79.12509975762389
Memgraph,traversal_3hop,3,384.0772015,176.97429632428037,552.9160322666667,118.11191480537659,610.0671141666667,60.90670190338298
Memgraph,aggregation_rating_counts,3,381.01080566666667,149.47513574813027,530.3504371166666,149.89394729593013,597.1523196600002,64.43859585936887
ArangoDB,point_lookup,3,339.010479,91.8777767242281,501.13515246666657,101.51008225163172,660.9576662100002,143.8093879365145
ArangoDB,indexed_lookup,3,371.25545116666666,131.93782174768376,538.9769507999999,131.5956682241884,592.3433978333334,92.97646307130158
ArangoDB,traversal_1hop,3,399.32550683333335,185.77583502487877,528.95135825,148.02568003974082,556.39725486,112.09580505535615
ArangoDB,traversal_2hop,3,1470.7456181666666,67.53494553749378,3632.4955320333333,117.15936146160799,5208.657943680002,339.50932790240995
ArangoDB,traversal_3hop,3,524.4548125,88.57111413822497,2703.5980374999995,72.12879366675713,6307.995834320006,231.44904167505464
ArangoDB,aggregation_rating_counts,3,455.382507,113.14440799601527,653.2622345166666,75.00132097436799,815.0384256466668,75.4774813798775
